track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name_x,playlist_name_y,playlist_total_tracks,owner_id,owner_name,total_followers
1DFNVxtjQy2kidJnQJs22X,Languyin,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,6192rIsjm6EaV6OclNLHoK,264253,2016-09-30,0,0.613,0.748,11,-3.911,1,0.037,0.0515,0.000416,0.171,0.637,120.01,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0WNVchaF5OfTe2MpvyWDAp,Para Sa Masa,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,616gVbSZhqmxgSBKqmZZ7T,296000,1998-11-27,44,0.28,0.176,0,-16.27,1,0.031,0.927,0.000274,0.281,0.156,178.476,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
6g5obKN94RJAjha3luUExe,Sembreak,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1IalzI8USuu4PB679HVV5C,242493,1994-11-01,35,0.46,0.628,11,-12.109,1,0.0512,0.0642,0.0,0.605,0.751,139.613,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4LAQJFBm8LiEwfR1zthJT4,Gising,3Hvxz2oZPYuo61ChHKcqQI,Autotelic,6192rIsjm6EaV6OclNLHoK,268666,2016-09-30,0,0.587,0.735,9,-2.632,1,0.0437,0.00412,0.0236,0.0382,0.449,134.038,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4EfQqy7HY0Sjncol342xZr,Pain In My Heart,0xxQZc6WKbfpoF06iBS8La,Zoo,094QuxZ14551qU53lF9bhq,284080,2007-01-01,0,0.551,0.175,9,-12.625,1,0.0318,0.786,0.0,0.099,0.27,65.147,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
7cZ0bNj43GU3fOwzMjvBPS,Ale,5VfC1cKlJXLcluxymeHu96,The Bloomfields,5qeu08trOLBtvpIGRYRg6L,230040,2007,36,0.61,0.834,7,-3.86,1,0.0341,0.29,0.0,0.397,0.941,136.92,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0ZwBfIrExhXO8SM2zS8GB3,Never Let Her Slip Away,5VfC1cKlJXLcluxymeHu96,The Bloomfields,3PA1dBKpOR7GxkWp9WXNwF,191426,2007-03-31,32,0.614,0.766,2,-3.574,1,0.0324,0.513,0.0,0.364,0.753,126.771,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0QCQCpkhzQxvrfaDOtLuCR,Salamat,2C82tCjOMy2n9Pq4Iz9B6S,The Dawn,1yP2ufuwPyQ5WwHlMOE3fA,197813,2001,31,0.447,0.705,9,-9.2,0,0.0681,0.000517,0.225,0.31,0.195,128.508,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4YUuEfldgTf3v9Kun7wgff,"Umaaraw, Umuulan",1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,420386,2010-05-18,0,0.56,0.845,9,-6.106,1,0.0319,0.0142,0.000247,0.248,0.648,134.51,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4jMfZRXVvQY2zW3b4erGx2,Bye Bye Na,6l880dxsvN2x5wiceaG6D0,Rico Blanco,4t4W1d2qy81QXlEOz5gjPu,235680,2003-12-01,38,0.669,0.458,0,-7.931,1,0.0291,0.0252,0.0,0.136,0.547,115.973,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4iuAGPs5hlZqsKsS0ZnyWB,Minsan,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1IalzI8USuu4PB679HVV5C,254333,1994-11-01,42,0.481,0.537,8,-13.679,1,0.0457,0.278,2.17e-06,0.117,0.597,144.215,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4z2geuRPJJBlJ4V8C9NgZx,Nakapagtataka,1tXFYQZSAswt4JLB42lpye,Sponge Cola,4Jfm8pzDGoeDqWKf6Q5qO6,234813,2013,48,0.539,0.722,7,-2.374,1,0.0271,0.319,1.87e-06,0.244,0.384,139.733,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
6bz8HLFjdC8vjjsIkXVsZ6,Bakit Ba?,3l9mRJIGzW7RrEE2H8Ldvq,Siakol,4MbiDStRGDprqHMa7944Y1,287066,2005-06-18,50,0.653,0.369,7,-11.107,1,0.0289,0.867,0.0,0.0796,0.527,137.213,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0KWgvN2d7GVBxhdrMhuF7a,Wag Mong Aminin,6l880dxsvN2x5wiceaG6D0,Rico Blanco,6FdbvyROWgBbley4kqmjSE,218192,2015-11-27,45,0.599,0.488,7,-8.457,1,0.0272,0.258,0.0,0.151,0.195,140.075,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
4EUoUso6ZvMRxQbQ6Rvx93,Suntok Sa Buwan - Acoustic,1J9AYwtdzwZiVW1mGkQpp6,Session Road,4d2xOl9z4znF9NeZ5LwXUI,237733,2004-09-22,0,0.64,0.639,9,-6.414,1,0.036,0.711,1.08e-05,0.105,0.728,163.81,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
6voLvE0VT6FE5RRg2Vc2aX,Akoy Sa'Yo,1wOZrAWxddHrRnONyLCjsq,First Circle,1PGhi7KM8V3spjAMEZa7jJ,317813,2002-01-06,0,0.696,0.325,9,-10.012,1,0.0324,0.611,0.0,0.0519,0.404,133.345,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0dJPIIlTmVM0lambbFgAYq,Eroplanong Papel,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,2xDMXQrLcUxzsAdpdlLPZh,303880,2017-03-20,53,0.471,0.647,0,-3.549,1,0.0347,0.00753,0.0,0.111,0.15,138.998,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
2d7NEsj5lvDCTzsK07MRlW,Julie Tearjerky,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,4rI4m4MlrYAzeMMfsb1ZkR,215293,1998-08-12,29,0.703,0.631,8,-11.375,1,0.029,0.0886,0.0,0.0623,0.86,125.066,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
23YKjuTD2esIoc2ICqTLxZ,Alipin,2TnJoEY5ctCfKaCwosowyY,Shamrock,2gk2n4QVbkF6xEExoTKV4m,263546,2005,50,0.731,0.189,7,-10.918,1,0.0329,0.768,0.0,0.0884,0.379,78.1,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
5m9b8PtaRw2hIk1TSQvhLP,Pa'no Nangyari 'yun?,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,4qo28IMiDLIyy8UDS33iAx,200804,2016-12-02,29,0.47,0.927,3,-4.804,1,0.0694,0.00171,2.28e-05,0.363,0.6,153.669,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
468iB1VWvEy9ln8M9zdde6,Tayo Na Lang Dalawa,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,4V1wdlWzWsSPbgXrgipsPS,185066,2014-04-20,53,0.52,0.969,1,-3.612,1,0.0331,4.47e-05,0.00232,0.157,0.63,97.598,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
35gTGGXGERfDq5dwWetAf1,Will You Ever Learn,7vbAIeiw0afuAqTiReJItY,Typecast,7cHPsqJBIqDdybkpCHgs3G,279066,2007-01-01,40,0.444,0.62,2,-7.233,1,0.0306,0.00334,0.0,0.201,0.112,109.752,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
2YukjCB3nflFV1rOoiXFmN,Torres,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,50prgOW7Rkfox7CJ4C7lRb,349866,2008-07-02,0,0.528,0.233,1,-7.806,1,0.0462,0.0256,3.3e-05,0.681,0.257,80.017,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
2EWTmUm5GqMPOYWyvGXSHj,Halik Ni Hudas,15JvurCmjijcX51RSwsSFc,Wolfgang,6SGmEn2WpEnIapDrGLvaW1,209897,2004-07-21,44,0.375,0.618,1,-14.927,1,0.0549,0.000751,0.0594,0.159,0.803,175.825,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
7fgO3zinxXWukK6FxgGfRs,Akala,2XHTklRsNMOOQT56Zm3WS4,Parokya Ni Edgar,3kDYBFYHGq1oVqm6l95HdR,182440,2007,45,0.678,0.622,4,-7.432,1,0.0402,0.142,0.0,0.157,0.637,99.923,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
