track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,streams,position
1E0wlDliGH6yPythfzIT8d,Ambitions,5ygKtDod9YYPAe0574Cwk0,Dom Guyot,3Wj8WpbXMLG37FDxzd4F4b,236000,2020-02-01,41,0.598,0.249,5,-8.327,1,0.0478,0.753,0.0,0.11800000000000001,0.27899999999999997,120.02600000000001,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
5w4faQsr8wjIBBRDrZ6Udw,Patawad,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,3cXSfZKP4p0NTxup7ZY8fU,277480,2020-02-07,49,0.41700000000000004,0.21,6,-9.4,1,0.033,0.41200000000000003,0.0,0.10400000000000001,0.14400000000000002,127.009,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,110628.0,170.0
5V2AX2WTOHl2FKtftvisV6,Kahit Ayaw Mo Na,5HIZU0JzM0AgfItVOm4E08,This Band,4sChUazv5CQPX1V3VqVsqV,243015,2018-02-02,1,0.662,0.529,2,-8.539,1,0.0351,0.341,0.00020800000000000001,0.105,0.424,127.584,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,37225681.0,1.0
0knRQzgvbUed6K74mX81hG,Kabilang Buhay,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,1bXVfDuQen1YkHWKudAi2c,325024,2020-03-20,70,0.389,0.35200000000000004,1,-14.427999999999999,0,0.0301,0.251,5.400000000000001e-06,0.19699999999999998,0.203,139.64700000000002,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,18020280.0,9.0
4u8RkgV6P4TLi89SmlUtv8,Mundo,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2p6QlBCrnKwUFC0wPN1kfV,349713,2018-02-14,64,0.705,0.401,6,-8.9,1,0.0376,0.17600000000000002,8.66e-06,0.0735,0.48100000000000004,140.031,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,89710226.0,1.0
6MkGDD4fp1xkD2iAcvxt3A,Bukas Makalawa,2P3aLwJ41aRYkyFFw2FRM7,Sam Concepcion,3KEKEKSmEq6WPvLuzzoODW,189000,2018-09-28,0,0.69,0.256,9,-12.752,0,0.0443,0.898,1.7899999999999998e-05,0.136,0.4,120.066,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
63qA4ydokzNOFpsaNlsYsC,Higa,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,245760,2019-10-25,68,0.657,0.337,9,-10.546,1,0.0433,0.45,0.0,0.106,0.183,125.057,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,15125162.0,29.0
6Yq6GkbNBGqMqE16evuFsB,safe&warm,1kfK3Jzt5ms7wI90gqXcnc,Fin and Fil,5WTbLlmT1Bvd6u6VgEQ4ZK,228000,2020-02-29,42,0.7140000000000001,0.354,0,-13.022,0,0.071,0.746,0.0,0.5589999999999999,0.5760000000000001,100.01299999999999,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,,
4jXiylt6Qg9gjAvlKIUZ95,Knots,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,6YenpHgwZGewYCagSPFPnh,238994,2018-09-28,47,0.657,0.491,7,-7.27,1,0.0526,0.5760000000000001,0.0,0.124,0.5920000000000001,139.944,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,112919.0,155.0
50hVyhZM4nvizfrQe38F3l,Hindi Na Nga,5HIZU0JzM0AgfItVOm4E08,This Band,1nZbFWVgFXFLQZ067FQdV8,282442,2018-09-14,1,0.396,0.413,7,-11.565999999999999,1,0.0334,0.0877,2.95e-05,0.124,0.10800000000000001,136.81799999999998,37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,19433150.0,6.0
